3Alpha_Code,Taxonomic_Code,Name_en,Scientific_Name
CYW,1090101604,Roughskin dogfish,Centroscymnus owstoni
CYU,1090101605,Plunket shark,Centroscymnus plunketi
CZI,10901016XX,,Centroscymnus spp
SYO,1090101701,Smallmouth knifetooth dogfish,Scymnodon obscurus
SYR,1090101702,Knifetooth dogfish,Scymnodon ringens
YSM,1090101703,Largespine velvet dogfish,Scymnodon macracanthus
SSQ,1090101704,Velvet dogfish,Scymnodon squamulosus
QUX,10901017XX,Scymnodon dogfishes nei,Scymnodon spp
SCK,1090101801,Kitefin shark,Dalatias licha
CFB,1090101901,Black dogfish,Centroscyllium fabricii
CYG,1090101902,Granular dogfish,Centroscyllium granulatum
CYK,1090101903,Bareskin dogfish,Centroscyllium kamoharai
CYN,1090101904,Combtooth dogfish,Centroscyllium nigrum
CYT,1090101905,Ornate dogfish,Centroscyllium ornatum
CYR,1090101906,Whitefin dogfish,Centroscyllium ritteri
YCX,10901019XX,Centroscyllium dogfishes nei,Centroscyllium spp
ACN,1090102101,Hooktooth dogfish,Aculeola nigra
QUA,1090102801,Smalleye pygmy shark,Squaliolus aliae
QUL,1090102802,Spined pygmy shark,Squaliolus laticaudus
DGX,10901XXXXX,Dogfish sharks nei,Squalidae
DGH,10901XXXXX040,Dogfishes and hounds nei,"Squalidae, Scyliorhinidae"
PPC,1090200301,Longnose sawshark,Pristiophorus cirratus
PPJ,1090200302,Japanese sawshark,Pristiophorus japonicus
PPU,1090200303,Shortnose sawshark,Pristiophorus nudipinnis
PPH,1090200304,Bahamas sawshark,Pristiophorus schroederi
PPW,1090200401,Sixgill sawshark,Pliotrema warreni
PWS,10902004XX,Sawsharks nei,Pristiophorus spp
AGN,1090300401,Angelshark,Squatina squatina
SUA,1090300402,Sawback angelshark,Squatina aculeata
SUF,1090300403,African angelshark,Squatina africana
SUG,1090300404,Argentine angelshark,Squatina argentina
SUU,1090300405,Australian angelshark,Squatina australis
SUC,1090300406,Pacific angelshark,Squatina californica
SUD,1090300407,Sand devil,Squatina dumeril
SUO,1090300408,Taiwan angleshark,Squatina formosa
SUJ,1090300409,Japanese angelshark,Squatina japonica
SUL,1090300410,Clouded angelshark,Squatina nebulosa
SUT,1090300411,Smoothback angelshark,Squatina oculata
SUE,1090300412,Ornate angelshark,Squatina tergocellata
SUN,1090300413,Ocellated angelshark,Squatina tergocellatoides
SWV,1090300414,Angular angel shark,Squatina guggenheim
SZJ,1090300415,Hidden angel shark,Squatina occulta
ASK,10903XXXXX,"Angelsharks, sand devils nei",Squatinidae
OXY,1090500601,Angular roughshark,Oxynotus centrina
OXN,1090500602,Sailfin roughshark,Oxynotus paradoxus
OXB,1090500603,Prickly dogfish,Oxynotus bruniensis
OXC,1090500604,Caribbean roughshark,Oxynotus caribbaeus
OXZ,1090500605,Japanese roughshark,Oxynotus japonicus
SHB,1090600901,Bramble shark,Echinorhinus brucus
ECK,1090600902,Prickly shark,Echinorhinus cookei
SHX,109XXXXXXX,"Dogfish sharks, etc. nei",Squaliformes
RRA,1100100101,Short-snouted shovelnose ray,Aptychotrema bougainvillii
RAR,1100100102,Eastern shovelnose ray,Aptychotrema rostrata
RAV,1100100103,Western shovelnose ray,Aptychotrema vincentiana
RPS,1100100201,,Platyrhina sinensis
RPT,1100100301,Thornback guitarfish,Platyrhinoidis triseriata
RCA,1100100401,Whitespotted wedgefish,Rhynchobatus australiae
RCD,1100100402,Giant guitarfish,Rhynchobatus djiddensis
RCL,1100100403,African wedgefish,Rhynchobatus luebberti
RHD,1100100502,Annandale's guitarfish,Rhinobatos annandalei
RBA,1100100503,,Rhinobatos annulatus
RBB,1100100504,,Rhinobatos batillum
RHH,1100100505,Bluntnose guitarfish,Rhinobatos blochii
RBE,1100100506,Lesser guitarfish,Rhinobatos brevirostris
