"year","production_area","country","iso","general_name","species","common_name","sci_name","quantity","aquaculture","log10_aqua","post"
1976,77,"Nicaragua","NIC","Lobster","NUG","green spiny lobster","Panulirus gracilis",102,0,0,1
1976,31,"Nicaragua","NIC","Lobster","SLC","caribbean spiny lobster","Panulirus argus",2596,0,0,1
1976,27,"Norway","NOR","Lobster","LBE","european lobster","Homarus gammarus",121,0,0,1
1976,27,"Norway","NOR","Lobster","NEP","norway lobster","Nephrops norvegicus",32,0,0,1
1976,5,"Norway","NOR","Salmon","SAL","atlantic salmon","Salmo salar",468,1651,3.21774707326279,1
1976,27,"Norway","NOR","Salmon","SAL","atlantic salmon","Salmo salar",1099,1651,3.21774707326279,1
1976,51,"Pakistan","PAK","Lobster","SLV","tropical spiny lobsters","Panulirus spp",279,0,0,1
1976,31,"Panama","PAN","Lobster","SLV","tropical spiny lobsters","Panulirus spp",125,0,0,1
1976,71,"Papua New Guinea","PNG","Lobster","SLV","tropical spiny lobsters","Panulirus spp",106,0,0,1
1976,87,"Peru","PER","Lobster","NUG","green spiny lobster","Panulirus gracilis",11,0,0,1
1976,71,"Philippines","PHL","Lobster","LOS","slipper lobsters","Scyllaridae",6,0,0,1
1976,71,"Philippines","PHL","Lobster","SLV","tropical spiny lobsters","Panulirus spp",147,0,0,1
1976,27,"Poland","POL","Salmon","SAL","atlantic salmon","Salmo salar",103,1651,3.21774707326279,1
1976,34,"Portugal","PRT","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",12,0,0,1
1976,27,"Portugal","PRT","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",33,0,0,1
1976,27,"Portugal","PRT","Lobster","LBE","european lobster","Homarus gammarus",13,0,0,1
1976,27,"Portugal","PRT","Lobster","NEP","norway lobster","Nephrops norvegicus",31,0,0,1
1976,34,"Senegal","SEN","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",158,0,0,1
1976,34,"Sierra Leone","SLE","Lobster","SLV","tropical spiny lobsters","Panulirus spp",150,0,0,1
1976,71,"Singapore","SGP","Lobster","LOS","slipper lobsters","Scyllaridae",22,0,0,1
1976,71,"Singapore","SGP","Lobster","SLV","tropical spiny lobsters","Panulirus spp",110,0,0,1
1976,51,"Somalia","SOM","Lobster","SLV","tropical spiny lobsters","Panulirus spp",977,0,0,1
1976,47,"South Africa","ZAF","Lobster","LBC","cape rock lobster","Jasus lalandii",6196,0,0,1
1976,51,"South Africa","ZAF","Lobster","NEM","mozambique lobster","Metanephrops mozambicus",106,0,0,1
1976,51,"South Africa","ZAF","Lobster","SLN","natal spiny lobster","Palinurus delagoae",61,0,0,1
1976,47,"South Africa","ZAF","Lobster","SLS","southern spiny lobster","Palinurus gilchristi",970,0,0,1
1976,34,"Spain","ESP","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",20,0,0,1
1976,27,"Spain","ESP","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",80,0,0,1
1976,27,"Spain","ESP","Lobster","LBE","european lobster","Homarus gammarus",29,0,0,1
1976,34,"Spain","ESP","Lobster","NEP","norway lobster","Nephrops norvegicus",74,0,0,1
1976,37,"Spain","ESP","Lobster","NEP","norway lobster","Nephrops norvegicus",694,0,0,1
1976,27,"Spain","ESP","Lobster","NEP","norway lobster","Nephrops norvegicus",3372,0,0,1
1976,37,"Spain","ESP","Lobster","SLO","common spiny lobster","Palinurus elephas",10,0,0,1
1976,47,"St. Helena","SHN","Lobster","LBT","tristan da cunha rock lobster","Jasus tristani",839,0,0,1
1976,27,"Sweden","SWE","Lobster","LBE","european lobster","Homarus gammarus",41,0,0,1
1976,27,"Sweden","SWE","Lobster","NEP","norway lobster","Nephrops norvegicus",262,0,0,1
1976,5,"Sweden","SWE","Salmon","SAL","atlantic salmon","Salmo salar",17,1651,3.21774707326279,1
1976,27,"Sweden","SWE","Salmon","SAL","atlantic salmon","Salmo salar",623,1651,3.21774707326279,1
1976,61,"Taiwan","TWN","Lobster","LOJ","longlegged spiny lobster","Panulirus longipes",211,0,0,1
1976,57,"Thailand","THA","Lobster","THQ","flathead lobster","Thenus orientalis",46,0,0,1
1976,71,"Thailand","THA","Lobster","THQ","flathead lobster","Thenus orientalis",1529,0,0,1
1976,37,"Tunisia","TUN","Lobster","CRW","palinurid spiny lobsters","Palinurus spp",2,0,0,1
1976,37,"Tunisia","TUN","Lobster","LBE","european lobster","Homarus gammarus",1,0,0,1
