"year","country","genus","species","sci_name","quantity","aquaculture","post","group","year_start"
1950,"VEN","Trichiurus","LHT","Trichiurus lepturus",1000,0,0,0,1984.6
1950,"YEM","Rastrelliger","RAG","Rastrelliger kanagurta",2300,0,0,0,1984.6
1950,"YEM","Sardinella","IOS","Sardinella longiceps",600,0,0,0,1984.6
1950,"YEM","Scomberomorus","COM","Scomberomorus commerson",800,0,0,0,1984.6
1950,"YEM","Sepiidae,","CTL","Sepiidae, Sepiolidae",2800,0,0,0,1984.6
1950,"YUG","Auxis","FRZ","Auxis thazard, A. rochei",29,0,0,0,1984.6
1950,"YUG","Engraulis","ANE","Engraulis encrasicolus",300,0,0,0,1984.6
1950,"YUG","Loligo","SQC","Loligo spp",100,0,0,0,1984.6
1950,"YUG","Merluccius","HKE","Merluccius merluccius",400,0,0,0,1984.6
1950,"YUG","Sardina","PIL","Sardina pilchardus",11800,0,0,0,1984.6
1950,"YUG","Sardinella","SAA","Sardinella aurita",800,0,0,0,1984.6
1950,"YUG","Scomber","MAZ","Scomber spp",1500,0,0,0,1984.6
1950,"YUG","Sepiidae,","CTL","Sepiidae, Sepiolidae",100,0,0,0,1984.6
1950,"ZAF","Merluccius","HKC","Merluccius capensis, M.paradoxus",47600,0,0,0,1984.6
1950,"ZAF","Sardinops","PIA","Sardinops ocellatus",155700,0,0,0,1984.6
1950,"ZAF","Scomber","VMA","Scomber colias",5700,0,0,0,1984.6
1951,"AGO","Auxis","FRZ","Auxis thazard, A. rochei",2600,0,0,0,1984.6
1951,"AGO","Merluccius","HKK","Merluccius capensis",300,0,0,0,1984.6
1951,"AGO","Sardinella","SIX","Sardinella spp",21600,0,0,0,1984.6
1951,"AGO","Sardinops","PIA","Sardinops ocellatus",7900,0,0,0,1984.6
1951,"AGO","Scomber","VMA","Scomber colias",17700,0,0,0,1984.6
1951,"AGO","Trichiurus","LHT","Trichiurus lepturus",600,0,0,0,1984.6
1951,"ARE","Decapterus","SDX","Decapterus spp",600,0,0,0,1984.6
1951,"ARE","Rastrelliger","RAG","Rastrelliger kanagurta",800,0,0,0,1984.6
1951,"ARE","Sardinella","IOS","Sardinella longiceps",1100,0,0,0,1984.6
1951,"ARE","Sardinella","SIX","Sardinella spp",1300,0,0,0,1984.6
1951,"ARE","Scomberomorus","COM","Scomberomorus commerson",700,0,0,0,1984.6
1951,"ARE","Stolephorus","STO","Stolephorus spp",1200,0,0,0,1984.6
1951,"ARG","Engraulis","ANA","Engraulis anchoita",8300,0,0,0,1984.6
1951,"ARG","Illex","SQA","Illex argentinus",100,0,0,0,1984.6
1951,"ARG","Merluccius","HKP","Merluccius hubbsi",19700,0,0,0,1984.6
1951,"ARG","Scomber","VMA","Scomber colias",17500,0,0,0,1984.6
1951,"AUS","Scomberomorus","COM","Scomberomorus commerson",400,0,0,0,1984.6
1951,"AUS","Scomberomorus","KGX","Scomberomorus spp",100,0,0,0,1984.6
1951,"BEL","Clupea","HER","Clupea harengus",8000,0,0,0,1984.6
1951,"BEL","Merluccius","HKE","Merluccius merluccius",200,0,0,0,1984.6
1951,"BEL","Scomber","MAC","Scomber scombrus",700,0,0,0,1984.6
