"year","production_area","country","iso","source","species","common_name","sci_name","quantity","value","lobster","salmon","general_name"
2013,31,"Antigua & Barbuda","ATG","Catches","SLC","Caribbean spiny lobster","Panulirus argus",106,NA,TRUE,FALSE,"Lobster"
2013,81,"Australia","AUS","Aquaculture","SAL","Atlantic salmon","Salmo salar",42776,479002082.3,FALSE,TRUE,"Salmon"
2013,57,"Australia","AUS","Catches","ASA","Australian salmon","Arripis trutta",1079,NA,FALSE,TRUE,"Salmon"
2013,81,"Australia","AUS","Catches","ASA","Australian salmon","Arripis trutta",1317,NA,FALSE,TRUE,"Salmon"
2013,57,"Australia","AUS","Catches","JSN","Southern rock lobster","Jasus novaehollandiae",2955,NA,TRUE,FALSE,"Lobster"
2013,57,"Australia","AUS","Catches","LOA","Australian spiny lobster","Panulirus cygnus",7379,NA,TRUE,FALSE,"Lobster"
2013,81,"Australia","AUS","Catches","LOG","Green rock lobster","Jasus verreauxi",138,NA,TRUE,FALSE,"Lobster"
2013,81,"Australia","AUS","Catches","LOS","Slipper lobsters nei","Scyllaridae",1,NA,TRUE,FALSE,"Lobster"
2013,57,"Australia","AUS","Catches","LOS","Slipper lobsters nei","Scyllaridae",14,NA,TRUE,FALSE,"Lobster"
2013,71,"Australia","AUS","Catches","LOS","Slipper lobsters nei","Scyllaridae",40,NA,TRUE,FALSE,"Lobster"
2013,57,"Australia","AUS","Catches","MWF","Metanephrops lobsters nei","Metanephrops spp",55,NA,TRUE,FALSE,"Lobster"
2013,71,"Australia","AUS","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",613,NA,TRUE,FALSE,"Lobster"
2013,31,"Bahamas","BHS","Catches","SLC","Caribbean spiny lobster","Panulirus argus",6088,NA,TRUE,FALSE,"Lobster"
2013,51,"Bahrain","BHR","Catches","THQ","Flathead lobster","Thenus orientalis",1,NA,TRUE,FALSE,"Lobster"
2013,27,"Belgium","BEL","Catches","LBE","European lobster","Homarus gammarus",2,NA,TRUE,FALSE,"Lobster"
2013,27,"Belgium","BEL","Catches","NEP","Norway lobster","Nephrops norvegicus",317,NA,TRUE,FALSE,"Lobster"
2013,31,"Belize","BLZ","Catches","SLC","Caribbean spiny lobster","Panulirus argus",652,NA,TRUE,FALSE,"Lobster"
2013,34,"Benin","BEN","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",4,NA,TRUE,FALSE,"Lobster"
2013,31,"Bermuda","BMU","Catches","SLC","Caribbean spiny lobster","Panulirus argus",31,NA,TRUE,FALSE,"Lobster"
2013,31,"Bermuda","BMU","Catches","SLV","Tropical spiny lobsters nei","Panulirus spp",3,NA,TRUE,FALSE,"Lobster"
